time,temperature
2026-05-11T03:00,26.5
2026-05-11T04:00,28.8
2026-05-11T05:00,30.9
2026-05-11T06:00,31.4
2026-05-11T07:00,32.8
2026-05-11T08:00,33.0
2026-05-11T09:00,34.0
2026-05-11T10:00,34.0
2026-05-11T11:00,33.2
2026-05-11T12:00,31.6
2026-05-11T13:00,30.0
2026-05-11T14:00,29.6
2026-05-11T15:00,28.9
2026-05-11T16:00,28.0
2026-05-11T17:00,27.5
2026-05-11T18:00,26.9
2026-05-12T03:00,26.5
2026-05-12T04:00,29.1
2026-05-12T05:00,31.1
2026-05-12T06:00,32.8
2026-05-12T07:00,33.3
2026-05-12T08:00,34.5
2026-05-12T09:00,35.2
2026-05-12T10:00,34.9
2026-05-12T11:00,34.7
2026-05-12T12:00,33.8
2026-05-12T13:00,33.2
2026-05-12T14:00,31.4
2026-05-12T15:00,28.5
2026-05-12T16:00,27.7
2026-05-12T17:00,26.9
2026-05-12T18:00,25.8
2026-05-13T03:00,26.0
2026-05-13T04:00,28.9
2026-05-13T05:00,31.2
2026-05-13T06:00,33.0
2026-05-13T07:00,34.5
2026-05-13T08:00,34.9
2026-05-13T09:00,34.5
2026-05-13T10:00,34.8
2026-05-13T11:00,34.2
2026-05-13T12:00,33.5
2026-05-13T13:00,32.5
2026-05-13T14:00,32.0
2026-05-13T15:00,31.4
2026-05-13T16:00,30.9
2026-05-13T17:00,28.4
2026-05-13T18:00,26.9
2026-05-13T19:00,25.9
2026-05-13T20:00,25.4
2026-05-14T03:00,27.1
2026-05-14T04:00,29.7
2026-05-14T05:00,32.0
2026-05-14T06:00,33.7
2026-05-14T07:00,35.4
2026-05-14T08:00,35.8
2026-05-14T09:00,36.0
2026-05-14T10:00,35.6
2026-05-14T11:00,35.2
2026-05-14T12:00,33.8
2026-05-14T13:00,33.0
2026-05-14T14:00,32.3
2026-05-15T03:00,26.1
2026-05-15T04:00,28.8
2026-05-15T05:00,31.9
2026-05-15T06:00,34.2
2026-05-15T07:00,35.2
2026-05-15T08:00,35.5
2026-05-15T09:00,35.2
2026-05-15T10:00,34.8
2026-05-15T11:00,34.0
2026-05-15T12:00,32.7
2026-05-15T13:00,30.4
2026-05-15T14:00,27.5
2026-05-15T15:00,25.4
2026-05-16T02:00,25.3
2026-05-16T03:00,27.4
2026-05-16T04:00,29.9
2026-05-16T05:00,32.7
2026-05-16T06:00,34.7
2026-05-16T07:00,35.7
2026-05-16T08:00,36.0
2026-05-16T09:00,35.3
2026-05-16T10:00,33.1
2026-05-16T11:00,29.9
2026-05-16T12:00,27.6
2026-05-16T13:00,27.4
2026-05-16T14:00,28.0
2026-05-16T15:00,28.3
2026-05-16T16:00,27.4
2026-05-16T17:00,26.0
2026-05-17T03:00,26.4
2026-05-17T04:00,28.8
2026-05-17T05:00,31.6
2026-05-17T06:00,33.6
2026-05-17T07:00,30.5
2026-05-17T08:00,31.3
2026-05-17T09:00,32.0
2026-05-17T10:00,32.6
2026-05-17T11:00,32.8
2026-05-17T12:00,32.7
2026-05-17T13:00,31.9
2026-05-17T14:00,30.5
2026-05-17T15:00,28.8
2026-05-17T16:00,27.0
2026-05-17T17:00,25.5
