State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Dharwad,Hubli (Amaragol),Bengal Gram (Gram)(Whole),Average (Whole),FAQ,2001-01-10,1400,1400.0,1400,6
Karnataka,Dharwad,Hubli (Amaragol),Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,2001-01-10,1380,1380.0,1380,8
Karnataka,Dharwad,Hubli (Amaragol),Green Gram (Moong)(Whole),Green (Whole),FAQ,2001-01-10,1600,1900.0,1800,9
Karnataka,Dharwad,Hubli (Amaragol),Groundnut,Gejje,FAQ,2001-01-10,601,1181.0,1105,10
Karnataka,Dharwad,Hubli (Amaragol),Maize,Local,FAQ,2001-01-10,420,445.0,440,4
Karnataka,Dharwad,Hubli (Amaragol),Onion,Telagi,FAQ,2001-01-10,50,300.0,250,23
Karnataka,Dharwad,Hubli (Amaragol),Onion,Local,FAQ,2001-01-10,50,250.0,230,23
Karnataka,Dharwad,Hubli (Amaragol),Onion,Puna,FAQ,2001-01-10,150,350.0,280,23
Karnataka,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2001-01-10,380,850.0,600,24
Karnataka,Dharwad,Hubli (Amaragol),Same/Savi,Same/Savi Local,FAQ,2001-01-10,771,771.0,771,122
Karnataka,Dharwad,Hubli (Amaragol),Sunflower,Sunflower,FAQ,2001-01-10,1409,1409.0,1409,14
Karnataka,Dharwad,Hubli (Amaragol),Wheat,White,FAQ,2001-01-10,771,771.0,771,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-07-30,2300,2600.0,2450,6
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-07-30,3100,3200.0,3150,9
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),H.Y.V.,FAQ,2001-07-30,480,550.0,515,5
Karnataka,Bangalore,Bangalore,Maize,Deshi Red,FAQ,2001-07-30,440,480.0,460,4
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-08-01,2600,2800.0,2700,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-08-01,3250,4150.0,3700,8
Karnataka,Bangalore,Bangalore,Chili Red,Other,FAQ,2001-08-01,2000,5800.0,3900,26
Karnataka,Bangalore,Bangalore,Coconut Seed,Other,FAQ,2001-08-01,1500,4000.0,2750,112
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-08-01,3350,3600.0,3475,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-08-01,2200,2300.0,2250,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-08-01,480,550.0,515,5
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-08-01,2250,3050.0,2650,7
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-08-01,900,1000.0,950,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-08-01,1450,1500.0,1500,3
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-08-01,1700,1800.0,1750,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-08-01,900,1100.0,1000,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-08-02,2600,2800.0,2700,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-08-02,3250,4150.0,3700,8
Karnataka,Bangalore,Bangalore,Coconut Seed,Other,FAQ,2001-08-02,1500,4000.0,2750,112
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-08-02,3350,3600.0,3475,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-08-02,2200,2300.0,2250,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-08-02,480,550.0,515,5
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-08-02,2250,3050.0,2650,7
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-08-02,1700,1800.0,1750,3
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-08-02,1450,1550.0,1500,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-08-02,1450,1550.0,1500,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-08-02,930,1300.0,1115,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-08-03,2600,2800.0,2700,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-08-03,3250,4150.0,3700,8
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-08-03,3350,3600.0,3475,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-08-03,2200,2300.0,2250,10
Karnataka,Bangalore,Bangalore,Kulthi (Horse Gram),Other,FAQ,2001-08-03,870,920.0,895,114
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-08-03,2250,3050.0,2650,7
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-08-03,900,1000.0,950,3
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-08-03,1700,1800.0,1750,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-08-03,1450,1550.0,1500,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-08-03,900,1100.0,1000,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-08-04,2600,2800.0,2700,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-08-04,3250,4150.0,3700,8
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-08-04,3350,3600.0,3475,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-08-04,2200,2300.0,2250,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-08-04,480,550.0,515,5
Karnataka,Bangalore,Bangalore,Kulthi (Horse Gram),Other,FAQ,2001-08-04,870,920.0,895,114
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-08-04,2250,3050.0,2650,7
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-08-04,900,1000.0,950,3
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-08-04,1700,1800.0,1750,3
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-08-04,1450,1550.0,1500,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-08-04,900,1100.0,1000,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-08-06,2550,2850.0,2700,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-08-06,3300,4100.0,3700,8
Karnataka,Bangalore,Bangalore,Coconut Seed,Other,FAQ,2001-08-06,1500,4000.0,2750,112
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-08-06,3500,3800.0,3650,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-08-06,2250,2350.0,2300,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-08-06,410,550.0,480,5
Karnataka,Bangalore,Bangalore,Kulthi (Horse Gram),Other,FAQ,2001-08-06,870,930.0,900,114
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-08-06,2300,3150.0,2725,7
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-08-06,1450,1550.0,1500,3
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-08-06,1650,1800.0,1725,3
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-08-06,950,1050.0,1000,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-08-06,900,1100.0,1000,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-09-01,2150,2500.0,2325,6
Karnataka,Bangalore,Bangalore,Black Gram (Urd Beans)(Whole),Other,FAQ,2001-09-01,3000,3900.0,3450,8
Karnataka,Bangalore,Bangalore,Chili Red,Other,FAQ,2001-09-01,2000,5800.0,3900,26
Karnataka,Bangalore,Bangalore,Coconut Seed,Other,FAQ,2001-09-01,1500,4000.0,2750,112
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-09-01,3000,3400.0,3200,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-09-01,2250,2400.0,2325,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-09-01,400,450.0,425,5
Karnataka,Bangalore,Bangalore,Kulthi (Horse Gram),Other,FAQ,2001-09-01,950,1050.0,1000,114
Karnataka,Bangalore,Bangalore,Red Gram,Other,FAQ,2001-09-01,2100,3000.0,2550,7
Karnataka,Bangalore,Bangalore,Rice,Medium,FAQ,2001-09-01,1500,1600.0,1550,3
Karnataka,Bangalore,Bangalore,Rice,Coarse,FAQ,2001-09-01,900,1200.0,1050,3
Karnataka,Bangalore,Bangalore,Rice,Fine,FAQ,2001-09-01,1700,1800.0,1750,3
Karnataka,Bangalore,Bangalore,Wheat,Other,FAQ,2001-09-01,900,1100.0,1000,1
Karnataka,Bangalore,Bangalore,Bengal Gram (Gram)(Whole),Good (whole),FAQ,2001-09-10,2150,2450.0,2300,6
Karnataka,Bangalore,Bangalore,Coconut Seed,Other,FAQ,2001-09-10,1400,3900.0,2650,112
Karnataka,Bangalore,Bangalore,Green Gram (Moong)(Whole),Other,FAQ,2001-09-10,2200,2700.0,2450,9
Karnataka,Bangalore,Bangalore,Groundnut,Other,FAQ,2001-09-10,2200,2300.0,2250,10
Karnataka,Bangalore,Bangalore,Jowar (Sorghum),Jowar ( White),FAQ,2001-09-10,450,550.0,500,5
Karnataka,Bangalore,Bangalore,Kulthi (Horse Gram),Other,FAQ,2001-09-10,950,1050.0,1000,114
Karnataka,Bangalore,Bangalore,Maize,Local,FAQ,2001-09-10,510,550.0,530,4
