State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-20,1650,1925.0,1850,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-20,1720,1725.0,1720,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-20,1290,1300.0,1290,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-21,1625,1900.0,1840,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-21,1660,1755.0,1755,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-21,1250,1290.0,1283,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-22,1600,1900.0,1800,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-22,1635,1680.0,1635,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-22,1260,1270.0,1270,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-24,1500,1875.0,1770,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-24,1560,1690.0,1640,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-24,1245,1270.0,1260,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-27,1500,1850.0,1750,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-27,1650,1675.0,1650,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-27,1260,1265.0,1260,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-28,1250,1500.0,1400,15
Telangana,Khammam,Khammam,Green Gram (Moong)(Whole),ML-267,FAQ,2001-12-28,1550,1675.0,1600,9
Telangana,Khammam,Khammam,Red Gram,AL-15,FAQ,2001-12-28,1276,1295.0,1276,7
Telangana,Khammam,Khammam,Cotton,LD-230,FAQ,2001-12-31,1500,1825.0,1700,15
