State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-13,1869,2462.0,2359,8
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Bold Kernel,FAQ,2001-03-13,1328,1686.0,1586,10
Tamil Nadu,Cuddalore,Virudhachalam,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-13,353,375.0,370,5
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-13,534,564.0,550,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-13,461,528.0,500,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-13,1513,2010.0,1952,11
Tamil Nadu,Cuddalore,Virudhachalam,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-14,446,454.0,450,28
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-14,2202,2367.0,2269,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-14,2447,2777.0,2672,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Big (With Shell),FAQ,2001-03-14,1420,1653.0,1603,10
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-14,470,525.0,504,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-14,534,581.0,572,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-14,1636,2027.0,1986,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-15,470,479.0,475,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-15,1989,2389.0,2100,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-15,1415,1696.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-15,370,370.0,370,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-15,479,483.0,481,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-15,453,490.0,473,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Super Fine,FAQ,2001-03-15,480,495.0,487,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-15,480,519.0,506,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-15,521,573.0,560,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-15,1736,1886.0,1750,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-16,430,478.0,450,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-16,2269,2319.0,2300,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-16,1386,1611.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-16,330,330.0,330,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-16,483,483.0,483,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-16,453,489.0,473,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Super Fine,FAQ,2001-03-16,461,493.0,480,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-16,481,508.0,493,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-16,1126,1888.0,1625,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-19,467,467.0,467,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-19,1898,2269.0,2000,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-19,1250,1598.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-19,484,484.0,484,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-19,455,473.0,467,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Super Fine,FAQ,2001-03-19,480,497.0,493,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-19,504,511.0,507,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-19,1236,1924.0,1625,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-20,472,477.0,475,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-20,1898,2276.0,2000,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-20,1336,1544.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-20,317,317.0,317,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-20,472,489.0,480,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-20,540,565.0,553,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-20,455,472.0,467,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-20,488,512.0,500,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-20,1486,1861.0,1625,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-21,461,477.0,470,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-21,1989,2102.0,2000,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-21,1279,1549.0,1438,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-21,350,350.0,350,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-21,459,487.0,470,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-21,520,560.0,547,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-21,455,473.0,467,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-21,481,512.0,493,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-21,1511,1911.0,1750,11
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-22,1039,2601.0,2169,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-22,2317,2522.0,2317,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Big (With Shell),FAQ,2001-03-22,1523,1565.0,1548,10
Tamil Nadu,Cuddalore,Virudhachalam,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-22,339,376.0,370,5
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-22,434,554.0,440,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Super Fine,FAQ,2001-03-22,536,648.0,541,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-22,462,489.0,488,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-22,1350,1917.0,1861,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-22,463,463.0,463,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-22,2079,2109.0,2100,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Big (With Shell),FAQ,2001-03-22,1374,1553.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-22,343,343.0,343,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-22,461,499.0,480,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-22,537,564.0,553,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-22,437,457.0,447,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-22,457,505.0,480,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-22,1536,1899.0,1750,11
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-27,1809,2222.0,2189,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-27,2397,2762.0,2472,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Big (With Shell),FAQ,2001-03-27,1595,1600.0,1595,10
Tamil Nadu,Cuddalore,Virudhachalam,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-27,343,367.0,360,5
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-27,528,550.0,537,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Medium,FAQ,2001-03-27,493,520.0,506,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-27,480,493.0,490,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Super Fine,FAQ,2001-03-27,501,577.0,507,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-27,1573,1977.0,1786,11
Tamil Nadu,Cuddalore,Virudhachalam,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-28,451,473.0,470,28
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-28,2009,2126.0,2120,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-28,2443,2672.0,2497,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Big (With Shell),FAQ,2001-03-28,1548,1575.0,1561,10
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Super Fine,FAQ,2001-03-28,526,541.0,536,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Fine,FAQ,2001-03-28,450,464.0,453,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-28,440,446.0,441,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Medium,FAQ,2001-03-28,434,501.0,460,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-28,1648,1950.0,1823,11
Tamil Nadu,Villupuram,Ulundurpettai,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-28,362,471.0,450,28
Tamil Nadu,Villupuram,Ulundurpettai,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-28,2089,2132.0,2100,8
Tamil Nadu,Villupuram,Ulundurpettai,Groundnut,Bold Kernel,FAQ,2001-03-28,1340,1633.0,1500,10
Tamil Nadu,Villupuram,Ulundurpettai,Jowar (Sorghum),H.Y.V.,FAQ,2001-03-28,237,237.0,237,5
Tamil Nadu,Villupuram,Ulundurpettai,Ragi (Finger Millet),Red,FAQ,2001-03-28,415,446.0,430,30
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Coarse,FAQ,2001-03-28,440,450.0,447,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Fine,FAQ,2001-03-28,469,499.0,480,3
Tamil Nadu,Villupuram,Ulundurpettai,Rice,Medium,FAQ,2001-03-28,520,569.0,547,3
Tamil Nadu,Villupuram,Ulundurpettai,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-28,1211,1876.0,1625,11
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-29,2019,2152.0,2100,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-29,2322,2712.0,2612,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Bold Kernel,FAQ,2001-03-29,1511,1600.0,1586,10
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Super Fine,FAQ,2001-03-29,510,545.0,536,3
Tamil Nadu,Cuddalore,Virudhachalam,Rice,Coarse,FAQ,2001-03-29,466,480.0,473,3
Tamil Nadu,Cuddalore,Virudhachalam,"Sesamum (Sesame,Gingelly,Til)",Crushing,FAQ,2001-03-29,1578,1935.0,1811,11
Tamil Nadu,Cuddalore,Virudhachalam,Bajra (Pearl Millet/Cumbu),Hybrid,FAQ,2001-03-30,439,469.0,460,28
Tamil Nadu,Cuddalore,Virudhachalam,Black Gram (Urd Beans)(Whole),Rajkot T-9,FAQ,2001-03-30,2069,2179.0,2089,8
Tamil Nadu,Cuddalore,Virudhachalam,Coriander (Leaves),Local,FAQ,2001-03-30,2450,2655.0,2472,43
Tamil Nadu,Cuddalore,Virudhachalam,Groundnut,Bold Kernel,FAQ,2001-03-30,1525,1875.0,1546,10
Tamil Nadu,Cuddalore,Virudhachalam,Red Gram,Desi (Whole),FAQ,2001-03-30,1689,1819.0,1800,7
